call_metric,geographic_zone,activity_category,high_call_threshold,category_hours,environmental_variable,units,n_available,median,q25,q75
Fin 20 Hz,Northern California,high_call,8,165,npp_lag_90d,mg_C_m-2_d-1,129,694.3258667,614.7281494,734.3806763
Fin 20 Hz,Northern California,high_call,8,165,npp_lag_120d,mg_C_m-2_d-1,31,700.3295898,652.5502319499999,745.4732666
Fin 20 Hz,Northern California,low_call,8,173,gebco_bathymetry_m,m,173,-3126,-3201,-2871
Fin 20 Hz,Northern California,low_call,8,173,sst_c,deg_C,173,15.931,15.029,16.87
Fin 20 Hz,Northern California,low_call,8,173,chlorophyll_a,mg_m-3,101,0.658201158,0.471041083,0.899588466
Fin 20 Hz,Northern California,low_call,8,173,phytoplankton_carbon,mg_m-3,101,42.17924881,37.6353302,44.75040817
Fin 20 Hz,Northern California,low_call,8,173,poc,mg_m-3,101,142.7998047,112.5,177.6000977
Fin 20 Hz,Northern California,low_call,8,173,npp_concurrent,mg_C_m-2_d-1,105,770.8478394,653.4711914,836.3624268
Fin 20 Hz,Northern California,low_call,8,173,npp_lag_30d,mg_C_m-2_d-1,28,668.0358276,659.98712155,747.8682708499999
Fin 20 Hz,Northern California,low_call,8,173,npp_lag_60d,mg_C_m-2_d-1,22,716.5159912,607.3536987,888.4337158
Fin 20 Hz,Northern California,low_call,8,173,npp_lag_90d,mg_C_m-2_d-1,93,695.3927002,577.8266602,730.3372803
Fin 20 Hz,Northern California,low_call,8,173,npp_lag_120d,mg_C_m-2_d-1,56,716.0004272,689.493499725,842.9289551
Fin 20 Hz,Northern California,no_call,8,319,gebco_bathymetry_m,m,319,-4166,-4277,-2833.5
Fin 20 Hz,Northern California,no_call,8,319,sst_c,deg_C,319,16.568,15.7105,17.012
Fin 20 Hz,Northern California,no_call,8,319,chlorophyll_a,mg_m-3,123,0.417350143,0.339165896,0.527209401
Fin 20 Hz,Northern California,no_call,8,319,phytoplankton_carbon,mg_m-3,123,40.23125839,25.984118459999998,44.75040817
Fin 20 Hz,Northern California,no_call,8,319,poc,mg_m-3,123,103,91,122
Fin 20 Hz,Northern California,no_call,8,319,npp_concurrent,mg_C_m-2_d-1,136,638.3764648,615.175415,680.7670898
Fin 20 Hz,Northern California,no_call,8,319,npp_lag_30d,mg_C_m-2_d-1,48,656.8884277,633.021423325,673.6986084
Fin 20 Hz,Northern California,no_call,8,319,npp_lag_60d,mg_C_m-2_d-1,67,623.5563354,584.82250975,639.48162845
Fin 20 Hz,Northern California,no_call,8,319,npp_lag_90d,mg_C_m-2_d-1,108,712.1637573,521.02877805,732.2659302
Fin 20 Hz,Northern California,no_call,8,319,npp_lag_120d,mg_C_m-2_d-1,89,666.6251831,582.4919434,842.9289551
Fin 20 Hz,Central California,high_call,11,245,gebco_bathymetry_m,m,245,-3465,-4140,-3412
Fin 20 Hz,Central California,high_call,11,245,sst_c,deg_C,245,15.744,15.384,16.334
Fin 20 Hz,Central California,high_call,11,245,chlorophyll_a,mg_m-3,100,0.5070367155,0.47642800975,0.5785083470000001
Fin 20 Hz,Central California,high_call,11,245,phytoplankton_carbon,mg_m-3,100,21.41898727,21.04387665,24.526120665
Fin 20 Hz,Central California,high_call,11,245,poc,mg_m-3,100,118.5998535,113.24987789999999,130.449707
Fin 20 Hz,Central California,high_call,11,245,npp_concurrent,mg_C_m-2_d-1,109,606.1464844,522.6004028,654.1107178
Fin 20 Hz,Central California,high_call,11,245,npp_lag_30d,mg_C_m-2_d-1,143,499.0621338,439.1333313,581.88079835
Fin 20 Hz,Central California,high_call,11,245,npp_lag_60d,mg_C_m-2_d-1,35,679.2646484,679.2646484,683.6884766
Fin 20 Hz,Central California,high_call,11,245,npp_lag_90d,mg_C_m-2_d-1,17,689.3362427,636.8848877,695.0459595
Fin 20 Hz,Central California,high_call,11,245,npp_lag_120d,mg_C_m-2_d-1,61,617.380249,510.7176208,859.7487793
Fin 20 Hz,Central California,low_call,11,390,gebco_bathymetry_m,m,390,-4132,-4285,-3499
Fin 20 Hz,Central California,low_call,11,390,sst_c,deg_C,390,15.784,15.38925,16.367
Fin 20 Hz,Central California,low_call,11,390,chlorophyll_a,mg_m-3,216,0.465747744,0.289678484,0.562865376
Fin 20 Hz,Central California,low_call,11,390,phytoplankton_carbon,mg_m-3,216,20.93194199,18.1529803275,23.7468404775
Fin 20 Hz,Central California,low_call,11,390,poc,mg_m-3,216,111.6000977,77.60009766,128
Fin 20 Hz,Central California,low_call,11,390,npp_concurrent,mg_C_m-2_d-1,218,543.5145569,475.891899125,669.105575575
Fin 20 Hz,Central California,low_call,11,390,npp_lag_30d,mg_C_m-2_d-1,234,499.8846588,433.45629117500005,582.1933288749999
Fin 20 Hz,Central California,low_call,11,390,npp_lag_60d,mg_C_m-2_d-1,64,679.3353271,602.612793,684.061981225
Fin 20 Hz,Central California,low_call,11,390,npp_lag_90d,mg_C_m-2_d-1,40,690.6339722,680.08546445,1029.9109195
Fin 20 Hz,Central California,low_call,11,390,npp_lag_120d,mg_C_m-2_d-1,82,659.1989746,566.869522125,861.6461182
Fin 20 Hz,Central California,no_call,11,321,gebco_bathymetry_m,m,321,-4196,-4277,-4134
Fin 20 Hz,Central California,no_call,11,321,sst_c,deg_C,321,16.334,15.684,16.826
Fin 20 Hz,Central California,no_call,11,321,chlorophyll_a,mg_m-3,193,0.246031776,0.234994709,0.377695709
Fin 20 Hz,Central California,no_call,11,321,phytoplankton_carbon,mg_m-3,193,18.3236351,16.26378632,20.03223228
Fin 20 Hz,Central California,no_call,11,321,poc,mg_m-3,193,70.79980469,63.69995117,95.79980469
Fin 20 Hz,Central California,no_call,11,321,npp_concurrent,mg_C_m-2_d-1,193,486.1214294,436.4893188,520.0286865
