"","drift","id","species","numClicks","keep"
"1848","CalCurCEAS_022","7518.241105113603.wav","",355,FALSE
"1849","CalCurCEAS_022","7518.241105114203.wav","",254,FALSE
"1851","CalCurCEAS_022","7518.241105115403.wav","",600,FALSE
"1852","CalCurCEAS_022","7518.241105120003.wav","",572,FALSE
"1903","CalCurCEAS_022","7518.241105172403.wav","",205,FALSE
"1904","CalCurCEAS_022","7518.241105173003.wav","",481,FALSE
"1905","CalCurCEAS_022","7518.241105173603.wav","",670,FALSE
"1906","CalCurCEAS_022","7518.241105174203.wav","",1359,FALSE
"1907","CalCurCEAS_022","7518.241105174803.wav","",1422,FALSE
"1908","CalCurCEAS_022","7518.241105175403.wav","",1295,FALSE
"1909","CalCurCEAS_022","7518.241105180003.wav","",1918,FALSE
"1910","CalCurCEAS_022","7518.241105180603.wav","",737,FALSE
"1911","CalCurCEAS_022","7518.241105181203.wav","",437,FALSE
"1912","CalCurCEAS_022","7518.241105181803.wav","",424,FALSE
"1913","CalCurCEAS_022","7518.241105182403.wav","",225,FALSE
"1914","CalCurCEAS_022","7518.241105183003.wav","",948,FALSE
"1915","CalCurCEAS_022","7518.241105183603.wav","",2262,FALSE
"1916","CalCurCEAS_022","7518.241105184203.wav","",2227,FALSE
"1917","CalCurCEAS_022","7518.241105184803.wav","",3214,FALSE
"1918","CalCurCEAS_022","7518.241105185403.wav","",3650,FALSE
"1919","CalCurCEAS_022","7518.241105190003.wav","",3395,FALSE
"1920","CalCurCEAS_022","7518.241105190603.wav","",3545,FALSE
"1921","CalCurCEAS_022","7518.241105191203.wav","",4597,FALSE
"1922","CalCurCEAS_022","7518.241105191803.wav","",3487,FALSE
"1923","CalCurCEAS_022","7518.241105192403.wav","",2823,FALSE
"1924","CalCurCEAS_022","7518.241105193003.wav","",2520,FALSE
"1925","CalCurCEAS_022","7518.241105193603.wav","",3040,FALSE
"1926","CalCurCEAS_022","7518.241105194203.wav","",3781,FALSE
"1927","CalCurCEAS_022","7518.241105194803.wav","",3647,FALSE
"1928","CalCurCEAS_022","7518.241105195403.wav","",3879,FALSE
"1929","CalCurCEAS_022","7518.241105200003.wav","",4232,FALSE
"1930","CalCurCEAS_022","7518.241105200603.wav","",4545,FALSE
"1931","CalCurCEAS_022","7518.241105201203.wav","",3145,FALSE
"1932","CalCurCEAS_022","7518.241105201803.wav","",2544,FALSE
"1933","CalCurCEAS_022","7518.241105202403.wav","",3129,FALSE
"1934","CalCurCEAS_022","7518.241105203003.wav","",4145,FALSE
"1935","CalCurCEAS_022","7518.241105203603.wav","",3805,FALSE
"1936","CalCurCEAS_022","7518.241105204203.wav","",2564,FALSE
"1937","CalCurCEAS_022","7518.241105204803.wav","",3037,FALSE
"1938","CalCurCEAS_022","7518.241105205403.wav","",2630,FALSE
"1939","CalCurCEAS_022","7518.241105210003.wav","",2444,FALSE
"1940","CalCurCEAS_022","7518.241105210603.wav","",2218,FALSE
"1941","CalCurCEAS_022","7518.241105211203.wav","",1599,FALSE
"1942","CalCurCEAS_022","7518.241105211803.wav","",1136,FALSE
"1943","CalCurCEAS_022","7518.241105212403.wav","",868,FALSE
"1944","CalCurCEAS_022","7518.241105213003.wav","",422,FALSE
"1945","CalCurCEAS_022","7518.241105213603.wav","",406,FALSE
"2070","CalCurCEAS_022","7518.241106101803.wav","",263,FALSE
"2084","CalCurCEAS_022","7518.241106114203.wav","",214,FALSE
"2088","CalCurCEAS_022","7518.241106120603.wav","",510,FALSE
"2089","CalCurCEAS_022","7518.241106121203.wav","",402,FALSE
"2090","CalCurCEAS_022","7518.241106121803.wav","",252,FALSE
"2091","CalCurCEAS_022","7518.241106122403.wav","",676,FALSE
"2092","CalCurCEAS_022","7518.241106123003.wav","",2009,FALSE
"2093","CalCurCEAS_022","7518.241106123603.wav","",2992,FALSE
"2094","CalCurCEAS_022","7518.241106124203.wav","",4969,FALSE
"2095","CalCurCEAS_022","7518.241106124803.wav","",5897,FALSE
"2096","CalCurCEAS_022","7518.241106125403.wav","",5930,FALSE
"2097","CalCurCEAS_022","7518.241106130003.wav","",4904,FALSE
"2098","CalCurCEAS_022","7518.241106130603.wav","",3906,FALSE
"2099","CalCurCEAS_022","7518.241106131203.wav","",4556,FALSE
"2100","CalCurCEAS_022","7518.241106131803.wav","",3832,FALSE
"2101","CalCurCEAS_022","7518.241106132403.wav","",4090,FALSE
"2102","CalCurCEAS_022","7518.241106133003.wav","",3564,FALSE
"2103","CalCurCEAS_022","7518.241106133603.wav","",5786,FALSE
"2104","CalCurCEAS_022","7518.241106134203.wav","",7510,FALSE
"2105","CalCurCEAS_022","7518.241106134803.wav","",6358,FALSE
"2106","CalCurCEAS_022","7518.241106135403.wav","",6549,FALSE
"2107","CalCurCEAS_022","7518.241106140003.wav","",7151,FALSE
"2108","CalCurCEAS_022","7518.241106140603.wav","",8447,FALSE
"2109","CalCurCEAS_022","7518.241106141203.wav","",8398,FALSE
"2110","CalCurCEAS_022","7518.241106141803.wav","",7869,FALSE
"2111","CalCurCEAS_022","7518.241106142403.wav","",7620,FALSE
"2112","CalCurCEAS_022","7518.241106143003.wav","",8149,FALSE
"2113","CalCurCEAS_022","7518.241106143603.wav","",6782,FALSE
"2114","CalCurCEAS_022","7518.241106144203.wav","",7074,FALSE
"2115","CalCurCEAS_022","7518.241106144803.wav","",7345,FALSE
"2116","CalCurCEAS_022","7518.241106145403.wav","",7131,FALSE
"2117","CalCurCEAS_022","7518.241106150003.wav","",6622,FALSE
"2118","CalCurCEAS_022","7518.241106150603.wav","",4191,FALSE
"2119","CalCurCEAS_022","7518.241106151203.wav","",2829,FALSE
"2120","CalCurCEAS_022","7518.241106151803.wav","",2678,FALSE
"2121","CalCurCEAS_022","7518.241106152403.wav","",2382,FALSE
"2122","CalCurCEAS_022","7518.241106153003.wav","",1893,FALSE
"2123","CalCurCEAS_022","7518.241106153603.wav","",1410,FALSE
"2124","CalCurCEAS_022","7518.241106154203.wav","",1116,FALSE
"2125","CalCurCEAS_022","7518.241106154803.wav","",361,FALSE
"2126","CalCurCEAS_022","7518.241106155403.wav","",219,FALSE
"2131","CalCurCEAS_022","7518.241106162403.wav","",224,FALSE
"2132","CalCurCEAS_022","7518.241106163003.wav","",231,FALSE
"2170","CalCurCEAS_022","7518.241106201803.wav","",665,FALSE
"2171","CalCurCEAS_022","7518.241106202403.wav","",271,FALSE
"2177","CalCurCEAS_022","7518.241106210003.wav","",215,FALSE
"2178","CalCurCEAS_022","7518.241106210603.wav","",333,FALSE
"2179","CalCurCEAS_022","7518.241106211203.wav","",363,FALSE
"2180","CalCurCEAS_022","7518.241106211803.wav","",681,FALSE
"2181","CalCurCEAS_022","7518.241106212403.wav","",612,FALSE
"2182","CalCurCEAS_022","7518.241106213003.wav","",644,FALSE
"2183","CalCurCEAS_022","7518.241106213603.wav","",793,FALSE
"2184","CalCurCEAS_022","7518.241106214203.wav","",775,FALSE
"2185","CalCurCEAS_022","7518.241106214803.wav","",641,FALSE
"2186","CalCurCEAS_022","7518.241106215403.wav","",590,FALSE
"2187","CalCurCEAS_022","7518.241106220003.wav","",940,FALSE
"2188","CalCurCEAS_022","7518.241106220603.wav","",947,FALSE
"2189","CalCurCEAS_022","7518.241106221203.wav","",1347,FALSE
"2190","CalCurCEAS_022","7518.241106221803.wav","",1293,FALSE
"2191","CalCurCEAS_022","7518.241106222403.wav","",1562,FALSE
"2192","CalCurCEAS_022","7518.241106223003.wav","",1528,FALSE
"2193","CalCurCEAS_022","7518.241106223603.wav","",2086,FALSE
"2194","CalCurCEAS_022","7518.241106224203.wav","",2295,FALSE
"2195","CalCurCEAS_022","7518.241106224803.wav","",2037,FALSE
"2196","CalCurCEAS_022","7518.241106225403.wav","",1543,FALSE
"2197","CalCurCEAS_022","7518.241106230003.wav","",1296,FALSE
"2198","CalCurCEAS_022","7518.241106230603.wav","",942,FALSE
"2199","CalCurCEAS_022","7518.241106231203.wav","",421,FALSE
"2200","CalCurCEAS_022","7518.241106231803.wav","",458,FALSE
"2201","CalCurCEAS_022","7518.241106232403.wav","",739,FALSE
"2202","CalCurCEAS_022","7518.241106233003.wav","",646,FALSE
"2203","CalCurCEAS_022","7518.241106233603.wav","",590,FALSE
"2204","CalCurCEAS_022","7518.241106234203.wav","",656,FALSE
"2205","CalCurCEAS_022","7518.241106234803.wav","",639,FALSE
"2206","CalCurCEAS_022","7518.241106235403.wav","",618,FALSE
"2207","CalCurCEAS_022","7518.241107000003.wav","",577,FALSE
"2208","CalCurCEAS_022","7518.241107000603.wav","",572,FALSE
"2209","CalCurCEAS_022","7518.241107001203.wav","",490,FALSE
"2210","CalCurCEAS_022","7518.241107001803.wav","",431,FALSE
"2211","CalCurCEAS_022","7518.241107002403.wav","",379,FALSE
"2212","CalCurCEAS_022","7518.241107003003.wav","",326,FALSE
"2213","CalCurCEAS_022","7518.241107003603.wav","",291,FALSE
"2214","CalCurCEAS_022","7518.241107004203.wav","",372,FALSE
"2215","CalCurCEAS_022","7518.241107004803.wav","",276,FALSE
"2216","CalCurCEAS_022","7518.241107005403.wav","",317,FALSE
"2217","CalCurCEAS_022","7518.241107010003.wav","",377,FALSE
"2218","CalCurCEAS_022","7518.241107010603.wav","",244,FALSE
"2219","CalCurCEAS_022","7518.241107011203.wav","",302,FALSE
"2220","CalCurCEAS_022","7518.241107011803.wav","",216,FALSE
"2221","CalCurCEAS_022","7518.241107012403.wav","",224,FALSE
"2222","CalCurCEAS_022","7518.241107013003.wav","",247,FALSE
"2223","CalCurCEAS_022","7518.241107013603.wav","",364,FALSE
"2224","CalCurCEAS_022","7518.241107014203.wav","",363,FALSE
